InvoiceDate,WHITE HANGING HEART T-LIGHT HOLDER,JUMBO BAG RED RETROSPOT,REGENCY CAKESTAND 3 TIER,ASSORTED COLOUR BIRD ORNAMENT,LUNCH BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,NATURAL SLATE HEART CHALKBOARD ,JAM MAKING SET WITH JARS,SMALL POPCORN HOLDER,RECIPE BOX PANTRY YELLOW DESIGN,LUNCH BAG CARS BLUE,WOODEN PICTURE FRAME WHITE FINISH,LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,ALARM CLOCK BAKELIKE RED ,VICTORIAN GLASS HANGING T-LIGHT,JUMBO STORAGE BAG SUKI,GREEN REGENCY TEACUP AND SAUCER,JUMBO BAG PINK POLKADOT,6 RIBBONS RUSTIC CHARM
2010-12-01,454,556,115,224,78,241,38,65,271,28,22,24,4,145,47,69,54,15,45,22
2010-12-02,309,48,184,503,11,459,28,38,74,13,3,72,14,34,88,24,14,30,23,73
2010-12-03,25,49,231,48,93,254,28,13,67,4,122,1,104,67,51,14,43,91,23,33
2010-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-05,198,39,92,129,36,21,25,23,81,79,28,39,2,12,42,0,9,10,17,49
2010-12-06,161,157,156,130,34,141,43,36,265,40,29,16,22,29,22,125,38,59,20,38
2010-12-07,331,343,129,271,33,261,61,22,130,12,12,20,2,43,20,155,25,14,14,37
2010-12-08,151,205,64,91,117,134,52,42,213,22,20,39,56,21,11,54,101,34,213,16
2010-12-09,195,21,87,120,34,77,39,32,260,25,9,22,2,14,55,50,23,30,18,20
2010-12-10,165,125,362,152,47,486,35,34,95,5,18,15,13,31,38,123,35,3,1,50
2010-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-12,42,1,53,25,18,5,13,6,49,0,5,6,8,16,7,18,7,12,4,2
2010-12-13,337,28,35,82,24,33,55,31,45,10,10,105,20,13,10,310,23,9,10,88
2010-12-14,185,63,74,228,36,188,11,70,282,55,27,17,43,53,42,36,72,7,11,32
2010-12-15,112,80,150,120,59,194,66,9,355,42,131,20,27,16,1,111,32,2,20,156
2010-12-16,790,210,63,160,51,0,36,86,19,7,50,70,10,3,14,72,44,6,40,38
2010-12-17,58,45,104,40,15,249,16,53,272,42,0,38,1,3,9,64,3,18,25,42
2010-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-19,42,1,16,8,2,0,0,0,8,5,0,12,0,0,3,0,0,73,1,12
2010-12-20,85,47,84,0,12,991,26,8,169,3,1,5,0,10,25,95,24,35,0,15
2010-12-21,41,122,93,24,21,300,25,12,75,22,11,0,2,13,10,23,35,19,9,12
2010-12-22,25,1,1,0,10,24,12,6,0,11,10,14,0,0,0,0,0,0,0,0
2010-12-23,47,11,10,16,1,48,4,14,8,26,1,0,0,2,1,12,3,0,0,12
2010-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-04,67,27,26,72,20,25,73,8,23,6,1,0,1,2,11,27,1,1,30,13
2011-01-05,304,436,21,232,100,24,33,3,3,2,2,0,1,0,37,43,110,1,200,3
2011-01-06,171,354,85,88,294,80,124,23,736,3,121,82,40,99,12,158,59,9,45,155
2011-01-07,334,514,87,24,25,171,12,24,36,21,15,6,18,27,36,156,20,7,234,10
2011-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-09,97,43,32,64,23,24,15,16,9,10,10,13,10,40,9,12,36,16,34,5
2011-01-10,12,57,53,88,30,28,15,15,7,15,20,19,1,1,16,1,130,15,20,26
2011-01-11,3114,1,58,256,21,169,57,24,20,8,44,25,10,36,11,156,64,8,10,58
2011-01-12,83,4,33,32,4,179,69,18,24,14,13,13,13,10,8,12,3,21,3,6
2011-01-13,8,33,68,38,134,73,17,13,29,7,34,40,4,2,11,16,5,8,213,6
2011-01-14,89,120,187,24,341,170,40,109,34,48,124,1,22,119,9,19,175,4,64,3
2011-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-16,23,10,9,4,112,0,10,13,230,8,10,2,22,23,2,0,14,0,13,0
2011-01-17,220,37,26,33,6,2,26,35,41,29,0,34,1,19,6,138,11,11,21,56
2011-01-18,18,87,27,16,5,73,24,7,4,5,4,1,5,16,1,39,30,2,8,6
2011-01-19,271,242,1,8,102,1540,11,7,52,1,20,3,21,112,0,18,0,3,18,6
2011-01-20,42,4,15,24,15,1,23,96,12,52,23,20,2,23,35,12,3,2,2,14
2011-01-21,63,124,35,24,0,129,14,54,152,2,28,0,23,7,40,36,33,8,13,14
2011-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-23,47,100,35,34,0,8,4,14,0,3,21,6,1,10,11,96,3,1,11,36
2011-01-24,11,56,57,208,33,170,33,20,23,45,2,37,100,21,1,3,33,80,13,41
2011-01-25,92,393,81,32,38,151,68,32,134,13,40,18,30,56,19,234,164,19,96,16
2011-01-26,183,1,18,24,38,169,15,17,103,15,20,1,32,32,7,24,2,8,23,47
2011-01-27,64,51,57,16,42,47,38,63,57,12,31,24,22,10,1,29,41,6,37,36
2011-01-28,68,1,15,40,20,16,52,44,24,28,47,24,41,35,16,25,19,57,20,4
2011-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-30,123,0,3,24,0,4,18,19,10,3,0,12,19,24,0,18,0,6,10,2
2011-01-31,29,52,8,366,185,158,10,18,61,7,43,9,150,21,0,108,32,41,4,23
2011-02-01,195,390,17,304,129,148,49,22,6,10,27,72,25,23,13,120,61,4,6,27
2011-02-02,222,310,32,224,35,2,56,19,6,31,0,20,21,32,4,192,0,13,32,24
2011-02-03,63,126,65,24,16,160,31,19,0,6,115,30,4,13,54,23,20,103,50,28
2011-02-04,42,23,25,8,52,90,1,30,34,16,19,40,1,14,21,24,14,9,103,27
2011-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-06,35,64,3,11,0,0,2,4,0,2,0,8,1,0,4,15,20,4,30,0
2011-02-07,69,30,11,8,22,50,21,37,13,36,1,13,6,0,5,20,40,6,31,17
2011-02-08,153,139,16,8,24,58,39,7,39,64,19,12,19,20,2,27,32,16,11,5
2011-02-09,14,36,5,16,140,53,9,20,36,7,21,41,15,3,0,37,39,37,18,1
2011-02-10,66,0,34,72,14,26,6,24,44,6,13,14,4,12,8,12,15,18,12,4
2011-02-11,209,43,54,32,42,134,9,1,102,10,15,8,2,42,27,128,114,8,23,3
2011-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-13,6,40,19,24,13,26,8,2,5,5,0,5,0,0,0,18,0,0,0,1
2011-02-14,66,426,90,236,46,102,12,59,17,14,30,80,20,32,22,26,102,23,302,29
2011-02-15,12,54,150,84,21,144,11,204,633,104,20,23,30,10,64,15,123,161,30,42
2011-02-16,203,30,43,156,60,27,74,43,21,1,22,16,30,3,6,24,11,13,11,25
2011-02-17,50,131,52,24,53,43,17,22,311,23,36,9,10,30,11,54,60,16,22,7
2011-02-18,6,314,12,80,107,197,5,12,48,24,11,0,23,40,16,12,205,23,33,2
2011-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-20,28,30,53,8,4,13,4,2,10,11,10,0,0,1,6,2,11,54,11,10
2011-02-21,23,102,74,40,111,47,23,24,9,51,0,13,110,0,1,4,11,14,0,159
2011-02-22,96,324,26,40,25,339,13,26,106,14,20,12,13,101,13,16,110,18,200,13
2011-02-23,116,48,34,96,23,82,29,20,1048,16,36,9,1,27,19,16,9,16,17,61
2011-02-24,99,161,40,32,31,74,16,31,48,27,30,6,30,30,12,204,1,38,40,18
2011-02-25,40,169,26,24,177,76,42,13,101,25,18,13,21,20,12,246,43,30,3,25
2011-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-27,27,6,4,96,2,100,15,0,0,2,10,16,30,2,11,24,0,8,0,4
2011-02-28,37,84,16,20,11,104,26,39,29,10,40,9,55,0,6,62,13,11,62,21
2011-03-01,86,288,10,24,102,120,26,26,17,9,11,13,10,122,1,224,8,7,83,46
2011-03-02,33,16,221,6,10,121,18,60,112,22,1,6,1,2,24,24,0,38,4,24
2011-03-03,96,30,72,48,26,25,1,141,134,73,15,6,2,39,1,40,21,17,14,66
2011-03-04,27,181,11,72,20,199,23,7,78,18,10,41,112,0,15,19,111,4,11,13
2011-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-06,101,25,19,43,6,120,4,22,0,10,2,11,12,5,7,37,20,21,0,3
2011-03-07,26,453,36,200,1,86,33,77,67,32,31,33,15,9,13,125,43,21,160,54
2011-03-08,145,117,40,80,65,229,18,38,13,10,49,34,51,22,4,63,62,12,83,3
2011-03-09,98,26,51,40,21,97,0,14,143,13,2,9,24,20,1,36,0,2,22,1
2011-03-10,57,41,14,72,36,336,80,26,14,9,54,17,42,24,36,25,6,16,106,36
2011-03-11,125,101,49,216,25,64,61,48,542,47,21,1,2,100,9,39,6,12,3,15
2011-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-13,3,0,0,34,0,2,4,2,0,1,4,7,4,10,0,2,0,0,0,3
2011-03-14,19,141,38,272,152,555,57,31,240,47,20,26,22,14,4,6,112,10,20,26
2011-03-15,114,45,22,363,13,100,25,37,65,53,7,10,2,20,9,12,8,24,45,30
2011-03-16,141,10,59,176,4,360,24,18,100,12,6,19,2,0,8,156,2,12,110,24
2011-03-17,87,1246,64,64,42,27,5,39,64,13,20,23,37,31,6,303,62,17,832,16
2011-03-18,57,35,76,37,14,35,20,81,87,20,6,147,10,4,17,50,44,96,36,1
2011-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-20,47,71,49,56,53,226,36,45,27,28,35,24,57,45,6,127,40,5,40,24
2011-03-21,38,161,43,138,75,53,75,38,49,10,41,5,40,77,4,195,10,15,140,17
2011-03-22,84,45,59,69,43,59,33,42,37,13,116,57,15,24,31,154,26,36,36,53
2011-03-23,83,337,83,56,21,125,135,32,19,33,21,12,22,5,2,39,117,6,125,12
2011-03-24,52,315,28,80,35,211,13,69,34,59,38,42,28,15,22,54,46,12,14,50
2011-03-25,31,521,57,40,205,51,13,7,77,1,131,21,53,55,4,24,211,7,271,15
2011-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27,77,0,59,8,0,28,3,17,21,3,6,38,2,0,2,60,0,14,0,19
2011-03-28,44,143,30,96,76,50,23,22,38,14,183,14,186,55,5,71,125,32,113,1
2011-03-29,185,563,60,24,206,524,73,33,663,44,37,6,142,170,24,242,165,24,305,68
2011-03-30,68,331,78,24,157,78,20,23,28,29,140,3,45,134,5,401,21,22,12,14
2011-03-31,75,40,125,324,97,94,32,38,134,40,37,119,64,57,2,179,16,18,224,41
2011-04-01,133,16,25,117,40,30,37,6,136,37,30,14,19,28,16,54,26,15,17,24
2011-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-03,77,10,16,0,11,9,10,8,43,3,0,42,3,3,0,5,6,1,4,4
2011-04-04,66,329,60,147,42,295,6,39,112,10,110,28,19,7,59,82,95,48,30,56
2011-04-05,51,333,22,248,2,98,14,7,124,0,15,9,2,4,503,30,0,21,30,17
2011-04-06,65,118,59,32,84,162,53,2,56,8,33,6,26,16,28,153,0,11,1,9
2011-04-07,50,43,99,57,17,13,10,8,232,11,12,14,12,14,5,57,16,13,24,1
2011-04-08,68,118,13,232,80,76,37,31,16,27,40,24,50,21,25,147,24,25,30,2
2011-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-10,74,34,29,37,22,25,5,1,24,17,6,32,22,20,2,24,108,0,10,4
2011-04-11,45,22,57,57,94,131,66,20,48,7,58,48,33,24,5,150,10,19,5,0
2011-04-12,198,120,45,168,61,86,103,24,54,25,30,42,10,30,36,48,20,25,0,13
2011-04-13,73,40,130,162,34,24,12,102,25,20,40,8,31,11,4,6,44,30,10,24
2011-04-14,127,148,95,280,40,240,31,50,640,6,10,18,39,50,36,326,42,76,58,24
2011-04-15,8,66,32,24,73,65,24,67,14,62,46,65,23,20,8,36,52,44,46,13
2011-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-17,23,220,7,124,3,54,42,25,3,14,2,40,0,12,0,60,14,6,0,14
2011-04-18,2102,169,28,60,143,208,44,29,46,41,31,29,27,18,19,227,29,38,28,18
2011-04-19,110,146,31,248,36,79,15,25,6,8,42,3,18,1,8,94,15,13,25,42
2011-04-20,73,110,89,16,85,1108,42,6,48,24,42,10,85,58,15,204,10,0,70,159
2011-04-21,137,124,38,288,104,26,26,19,132,7,26,22,51,10,15,120,16,56,32,27
2011-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-26,179,190,41,111,62,139,67,21,50,33,57,9,1,63,20,2,54,54,25,24
2011-04-27,73,67,234,88,69,53,17,6,60,1,43,10,11,40,13,69,32,8,122,25
2011-04-28,111,33,45,64,23,99,27,18,0,18,2,12,25,21,29,24,13,12,25,12
2011-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,12,95,5,1,10,24,12,0,200,0,10,24,0,20,1,0,30,8,110,10
2011-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-03,317,51,34,52,75,116,25,12,39,93,38,7,21,57,14,283,64,19,24,35
2011-05-04,85,48,11,96,1,56,13,24,221,20,100,24,100,101,13,18,15,8,3,13
2011-05-05,421,77,67,114,38,146,2,30,19,10,49,54,7,27,5,101,21,29,9,28
2011-05-06,179,94,40,128,140,392,31,21,30,40,40,26,22,78,10,154,50,5,73,13
2011-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-08,142,110,19,204,35,78,19,2,63,11,13,24,29,19,17,44,31,21,45,17
2011-05-09,216,76,19,40,113,105,1,5,64,31,82,48,75,48,18,156,30,28,73,42
2011-05-10,142,396,34,192,73,97,23,20,56,63,48,133,175,163,17,54,186,63,141,63
2011-05-11,120,154,58,448,160,52,13,8,84,15,24,43,44,36,26,57,114,42,136,17
2011-05-12,227,237,177,360,432,1236,26,53,51,61,48,18,219,50,13,194,10,20,20,24
2011-05-13,25,340,76,117,91,128,20,15,115,4,117,24,46,60,11,33,113,1,21,2
2011-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-15,143,3,2,44,16,29,12,1,11,2,2,1,12,12,4,102,10,6,10,0
2011-05-16,201,133,51,64,108,129,38,34,61,30,50,13,37,71,26,27,33,14,22,12
2011-05-17,156,161,60,168,59,38,171,48,556,70,77,162,68,80,8,360,41,43,24,26
2011-05-18,73,178,16,136,22,217,87,102,93,15,21,18,4,16,18,36,16,91,10,3
2011-05-19,108,162,112,48,83,50,31,54,140,81,33,35,16,33,49,58,52,34,51,42
2011-05-20,92,273,56,136,120,29,19,6,420,6,70,21,60,20,13,174,41,68,50,13
2011-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-22,153,71,12,43,53,136,54,12,30,20,25,42,24,23,2,108,13,5,22,53
2011-05-23,113,365,13,116,64,63,18,1,44,21,23,41,42,51,16,73,50,20,29,0
2011-05-24,144,251,18,100,66,98,17,15,63,17,18,94,3,22,8,108,2,13,25,26
2011-05-25,68,255,32,29,107,27,2,6,73,3,9,27,49,16,3,202,162,35,57,10
2011-05-26,653,6,38,264,263,24,24,12,38,0,52,8,33,3,7,18,19,57,304,17
2011-05-27,22,44,65,16,176,136,18,7,4314,1,57,38,12,16,20,207,33,14,135,24
2011-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-29,26,12,3,40,8,12,5,7,30,1,10,6,2,19,2,0,5,0,10,0
2011-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-31,168,29,44,104,42,47,11,7,34,2,51,15,28,20,10,41,60,18,25,18
2011-06-01,29,21,16,64,11,25,17,14,6,8,2,12,16,4,7,47,17,14,23,14
2011-06-02,353,155,56,56,26,78,6,30,44,24,86,90,29,103,18,37,27,74,326,3
2011-06-03,29,33,134,64,41,3,60,8,368,24,36,60,51,12,4,254,10,9,10,0
2011-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
